step,time_s,note,R1,R2,R3,R4,R5,R6,R7,R8
65,7.56,state after change,BBBBBMDBDMDDBDMD,BBBBBMDDBMDDDDM_,MMBBBMMMBMDDDBMD,BBBBB_BBBDBDBBDB,BBBBBDBBB_BBBB_B,BBMMMBBBBDBBBB_B,BBMMMBMMBDMBBBDM,________________
66,7.627,state after change,BBBBBMDBDMDDBDMD,BBBBBMDDBMDDDDM_,MMBBBMDMBMDDDBMD,BBBBB_BBBDBDBBDB,BBBBB_BBB_BBBB_B,BBMMMBBBBDBBBB_B,BMMMMBMBBDMBBBDM,________________
67,7.695,state after change,BBBBBMDBDMDDBDMD,BBBBBMDDBMDDDDM_,MMBBBMDDMMDDDBMD,BBBBB_BBBDBDBBDB,BBBBB_BBB_BBBB_B,BBMBMBBBBDBBBB_B,BMMMMBBBBDBBBBDM,________________
68,7.762,state after change,BBBBBMDBDMDDBDMD,BBBBBMDDBMDDDDM_,MMBBBMDDMMDDDBMD,BBBBB_BBBDDDBBDB,BBBBB_BBB_BBBB_B,BBMBMBBBBDBBBB_B,BMMMMBBBBDBBBBDM,________________
69,7.83,state after change,BBBBBMDBDMDDBDMD,BBBBBMDDDMDDDDMD,MMBBBMDDBMDDDBMD,BBBBB_BDBDDDBBDB,BBBBB_BBB_BBBB_B,BBMBBBBBBDBBBB_B,BMMMMBBBBDBBBBDB,________________
70,7.897,state after change,BBBBBMDBDMDDBDMD,BBBBBMDDDMDDDDMD,MMBBBMDDBMMDDBMD,BBBBB_BDDDDDDBDD,BBBBB_BBB_BBBB_B,BBMBBBBBBDBBBB_B,BMMMMBBBBDBBBBDB,________________
71,7.965,state after change,BBBBBMDBDMDDBDMD,BBBBBMDDDMDDDDM_,MMBBBMDDDMMBDDMD,BBBBB_BDDDDDDBDB,BBBBB_BBB_BBBB_B,BBMBBBBBBDBBBB_B,BMMMMBBBBDBBBBDB,________________
72,8.032,state after change,BBBBBMDBDMDDBDMD,BBBBBMDDDMDDDDM_,MMBBBMDDDMDMDBMD,BBBBB_BDDDDDBBDB,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMMMMBBBBDBBBBDB,________________
73,8.1,state after change,BBBBBMDBDMDDDDM_,BBBBBMDDDMDDDDM_,MMBBBMDDDMDDMMMD,BBBBB_BDDDDDBBDB,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMMMBBBBBDBBBBDB,________________
74,8.167,state after change,BBBBBMDBDMDDBDM_,BBBBBMDDDMDDDDM_,MMBBBMDDDMDDMMMD,BBBBB_BDDDDDBBDB,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMMMBBBBBDBBBBDB,________________
75,8.235,state after change,BBBBBMDBDMDDDDM_,BBBBBMDDDMDDDDM_,MMBBBMDDDMDDDBMD,BBBBB_BDDDDDBBDB,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMMMBBBBBDBBBBDB,________________
76,8.302,state after change,BBBBBMDBDMDDDDM_,BBBBBMDDDMDDDDM_,MMBBBMDDDMDDDDMM,BBBBB_BDDDDDDBDB,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMMMBBBBBDBBBBDB,________________
77,8.437,state after change,BBBBBMDBDMDDDDB_,BBBBBMDDDMDDDDM_,MMBBBMDDDMDDDDMD,BBBBB_BDDDDDDDDB,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMMMBBBBBDBBBBDB,________________
78,8.572,state after change,DBBBBMDBDMDDDDB_,BBBBBMDDDMDDDDB_,MMBBBMDDDMDDDDMD,BBBBB_BDDDDDDDDB,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMBBBBBBBDBBBBDB,________________
79,8.64,state after change,DBBBBMDBDMDDDDM_,BBBBBMDDDMDDDDM_,MMBBBMDDDMDDDDMD,BBBBB_BDDDDDDDDD,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMBBBBBBBDBBBBDB,________________
80,8.707,state after change,DBBBBMDBDMDDDDMD,BBBBBMDDDMDDDDM_,MMBBBMDDDMDDDDMD,BBBBB_BDDDDDDDDD,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMBBBBBBBDBBBBDB,________________
81,8.775,state after change,BBBBBMDBDMDDDDMD,BBBBBMDDDMDDDDM_,MMBBBMDDDMDDDDMD,BBBBB_BDDDDDDDDD,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMBMBBBBBDBBBBDB,________________
82,8.842,state after change,BBBBBMDBDMDDDDM_,BBBBBMDDDMDDDDM_,MMBBBMDDDMDDDDMD,BBBBB_BDDDDDDBDB,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMMMBBBBBDBBBBDB,________________
83,8.91,state after change,BBBBBMDBDMDDBDM_,BBBBBMDDDMDDDDB_,MMBBBMDDDMDDDBMD,BBBBB_BDDDDDDBDB,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBB_B,BMMMBBBBBDBBBBDB,________________
84,9.112,state after change,BBBBBMDBDMDDBDBD,BBBBBDDDDMDDDDM_,BBBBBMDDDDDDDBMD,BBBBB_BBBMDDBBDD,BBBBB_BBBDBBBB_B,BBMBBBBBBDBBBB_B,BMMMMBBBBDBBBBDB,________________
85,9.18,state after change,BBBBBMDBDMDDBDB_,BBBBB_DDDMDDDDM_,BBBBBMDDDDDDDBMD,BBBBB_BDBMDDBBDB,BBBBB_BBBDBBBB_B,BBMMBBBBBDBBBB_B,BBMMMBBBBDBBBBDB,________________
