step,time_s,note,R1,R2,R3,R4,R5,R6,R7,R8
49,10.125,state after change,oooooOoooOooooOo,oOoooooooOooooOo,OOoooOooooooooOo,OOOoOOoooOoooOOo,OOOOOooooooooOOO,OOOOOOooooooOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO
50,10.327,state after change,oooooOoooOooooOo,oOoooooooOooooOo,oOoooOooooooooOo,OOoOoOoooOoooOOo,oOoooooooooooOOO,oOOOOooooooooOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO
51,10.53,state after change,oooooOoooOooooOo,oOoooooooOooooOo,oOoooOooooooooOo,OOooOOoooOoooOOo,oOoooooooooooOoo,oOOOOooooooooOOO,OOOOOOOOOOOOOoOO,OoOOOOOOOOOOOoOO
52,10.732,state after change,oooooOoooOooooOo,oooooooooOooooOo,oOoooOooooooooOo,OOoooOoOoOoooOOo,oOoooooooooooOoo,oOOooooooooooOOO,OOOOOOOOOOOOOoOO,OoOOOOOOOOOOOoOO
53,10.935,state after change,oooooOoooOooooOo,oooooooooOooooOo,oOoooOooooooooOo,OOoooOoooOooooOo,oOoooooooooooOoo,oOOOoooooooooOOO,OoOOOOOoOOOOOoOO,OoOOOOOOOOOOOoOO
54,11.137,state after change,oooooOoooOooooOo,oooooooooOooooOo,oOoooOooooooooOo,OOoooOoooOoOooOo,oOoooooooooooooo,oOOooooooooooooO,OoOOOOOOOOOOOoOO,OoOOOOOOOOOOOoOO
55,11.34,state after change,oooooOoooOooooOo,oooooooooOooooOo,oOoooOooooooooOo,OOoooOoooOoooOOo,oOooooooooooooOo,oOOooooooooooooO,OoOOOOOoOOOOOoOO,OoOOOOOOOOOOOoOO
56,11.61,state after change,oooooOoooOooooOo,oooooooooOooooOo,oooooOooooooooOo,OOoooOoooOooooOo,oOoooooooooooooo,oOoooooooooooooO,oOOOOOOoOOOOOoOO,OoOOOOOOOOOOOoOO
57,11.88,state after change,oooooOoooOooooOo,oooooooooOooooOo,oooooOooooooooOo,OOoooOoooOooooOo,oooooooooooooooo,oOoooooooooooOoO,oOOOOooooOOOOOOO,OOOOOOOOOOOOOOOO
58,12.082,state after change,oooooOoooOooooOo,oooooooooOooooOo,oooooOooooooooOo,OOoooOoooOooooOo,oooooooooooooooo,oOoooooooooooOoo,oOOOOooooooOoOOO,oOOOOOOOOOOOOOOO
59,12.285,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooOoooooo,OOoooooooooooooo,oOoooooooooooOoo,oOOoOooooooooOOO,oOOOOOOOOOOOOOOO
60,12.487,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooOoooooo,OOoooooooooooooo,oooooooooooooOoO,oOoooooooooOoOOO,oOOOOOOoOOOOOOOO
61,12.825,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooOoooooo,OOoooooooooooooo,oooooooooooooOoO,oOooooooooOOOOOO,oOOOOOOOOOOOOOOO
62,13.095,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooOoooooo,OOoooooooooooooo,oOoooooooooooOoO,oOOOOooooOOOOOOO,oOOOOOOOOOOOOOOO
63,13.297,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oOoooOoooOoooooo,OOoooOoooOoooOOo,oOoooooooooooOOO,oOOOOoooOOOOOOOO,OOOOOOOOOOOOOOOO
64,13.5,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oOoooOoooOoooooo,OOoOoOoooOoooOOO,oOoooooooooooOOO,oOOOOoooOOOOOOOO,OOOOOOOOOOOOOOOO
65,13.702,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooOoooooo,OOooOOoooOoooOOo,oOoooooooooooOOO,oOOOOoooOOOOOOOO,OoOOOOOOOOOOOoOO
66,13.905,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooOoooooo,OOoooOoOoOoooOOo,oOoooooooooooOOO,oOOOOooooOOOOOOO,OOOOOOOOOOOOOOOO
67,14.107,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooOoooooo,OOoooOoooOoooOOo,oOoooooooooooOOO,oOOOOooooOOOOOOO,oOOOOOOOOOOOOOOO
68,14.31,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooOoooooo,OOoooOoooOoOoOOo,oOoooooooooooOOO,oOOOOooooooOOOOO,OOOOOOOOOOOOOOOO
69,14.512,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oOoooOoooOoooooo,OOoooOoooOoooOOo,oOoooooooooooOOO,oOOOOoooooOOOOOO,OoOOOOOOOOOOOOOO
70,14.715,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oOoooOoooOoooooo,OOoooOoooOoooOOo,oOoooooooooooOOO,oOOOOoooOOOOOoOO,OoOOOOOOOOOOOoOO
71,14.917,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oOoooOoooOoooooo,OOoooOoooOoooOOo,oOooooooooooooOO,oOOOOOooOOOOOoOO,OoOOOOOOOOOOOoOO
72,15.187,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooOoooooo,OOoooOoooOoooOOo,oOoooooooooooOoO,oOOOOoooOooOOOOO,oOOOOOOOOOOOOoOO
73,15.39,state after change,oooooOoooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oooooOoooOooooOo,oooooooooooooOOo,oOoooooooooooOOO,oOOOOOOoOOOOOOOO
74,15.592,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oooooOoooOooooOo,oooooooooooooOOo,oOoooooooooooOOO,oOooOooooooOOOOO
75,15.795,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oooooOoooOooooOo,ooooooooooooooOo,oooooooooooooOOo,oOoooooooooooOOO
76,16.065,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oooooOoooOooooOo,ooooooooooooooOo,oooooooooooooOoo,oOoooooooooooOoO
77,16.402,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,OOoooOoooOooooOo,OOoooOoooOooooOo,oOoooooooooooOoo,oOooOooooooooOOO
78,16.605,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oooooOoooOooooOo,OOoOoOoooOooooOo,oOoooooooooooOoo,oOoooooooooooOoO
79,16.807,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oooooOoooOooooOo,OOoooOoooOooooOo,oooooooooooooOoo,oOoooooooooooOOO
80,17.01,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oooooOoooOooooOo,OOoooOoOoOooooOo,oOoooooooooooOoo,oOoooooooooooOoO
81,17.212,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oooooOoooOooooOo,OOoooOooOOooooOo,oOoooooooooooOoO,oOoooooooooooOoO
82,17.415,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oOoooOoooOooooOo,OOoooOoooOOOoOOo,oOoooooooooooOoO,oOOoooooooooooOO
83,17.617,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oOoooOoooOooooOo,OOoooOoooOooOOOo,oOooooooooooooOO,ooOOOoooooooooOO
84,17.887,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oOoooOoooOooooOo,OOoooOoooOoooOOo,oOoooooooooooOoO,oOOoooooooooooOO
85,18.225,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOooooooooOo,oooooOoooooooooo,oooooOoooOooooOo,OOoooOoooOooooOo,oOoooooooooooooo,oOoooooooooooOoO
86,18.562,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOoooooooooo,oooooOoooooooooo,oooooOoooOooooOo,oooooOoooOooooOo,oOoooooooooooOOo,oOoooooooooooOOO
87,18.9,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOoooooooooo,oooooOoooooooooo,oooooOoooOooooOo,oooooOoooOooooOo,oooooooooooooOOo,oOoooooooooooOoO
88,19.17,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOoooooooooo,.ooooOoooooooooo,oooooOoooOooooOo,oooooOoooOooooOo,ooooooooooooooOo,oooooooooooooooo
89,19.372,state after change,.ooooooooOoooooo,ooooooooooooooOo,oooooOoooooooooo,..oooOoooooooooo,..oooOoooOooooOo,..oooOoooOooooOo,ooooooooooooooOo,oooooooooooooooo
90,19.575,state after change,oooooooooOoooooo,ooooooooooooooOo,oooooOoooooooooo,..oooOoooooooooo,.ooooOoooOooooOo,oooooOoooOooooOo,OOoooOoooOooooOo,oooooooooooooooo
91,20.047,state after change,.ooooooooOoooooo,ooooooooooooooOo,oooooOoooooooooo,...ooOoooooooooo,..oooOoooOooooOo,.ooooOoooOooooOo,OOoooOoooOooooOo,oooooooooooooooo
92,20.25,state after change,.ooooooooOoooooo,ooooooooooooooOo,..oooOoooooooooo,....oOoooooooooo,...ooOoooOooooOo,...ooOoooOooooOo,OOoooOoOOOooooOo,.ooooooooooooooo
93,20.452,state after change,.ooooooooOoooooo,ooooooooooooooOo,.ooooOoooooooooo,...ooOoooooooooo,...ooOoooOooooOo,...ooOoooOooooOo,OOoooOoooOOoooOo,.ooooooooooooooo
94,20.655,state after change,.ooooooooOoooooo,ooooooooooooooOo,..oooOoooooooooo,....oOoooooooooo,...ooOoooOooooOo,...ooOoooOooooOo,OOoooOoooOoOOOOo,.ooooooooooooooo
95,20.857,state after change,..oooooooOoooooo,ooooooooooooooOo,...ooOoooooooooo,....oOoooooooooo,....oOoooOooooOo,....oOoooOooooOo,OO.ooOoooOooooOO,..oooooooooooooo
96,21.06,state after change,...ooooooOoooooo,.oooooooooooooOo,...ooOoooooooooo,.....Ooooooooooo,....oOoooOooooOo,....oOoooOooooOo,OO.ooOoooOooooOo,...ooooooooooooo
97,21.465,state after change,...ooooooOoooooo,..ooooooooooooOo,...ooOoooooooooo,.....Ooooooooooo,....oOoooOooooOo,....oOoooOooooOo,oO.ooOoooOooooOo,...ooooooooooooo
98,21.667,state after change,....oOoooOoooooo,..ooooooooooooOo,....oOoooOoooooo,.....Ooooooooooo,.....OoooOooooOo,.....ooooOooooOo,....oooooOooooOo,....oooooooooooo
99,21.87,state after change,....oOoooooooooo,...ooooooooooooo,....oOoooOoooooo,.....Ooooooooooo,.....OoooOooooOo,......ooooooooOo,.....ooooOooooOo,....oooooooooooo
100,22.207,state after change,....oOoooooooooo,...ooooooooooooo,.....OoooOoooooo,.....Ooooooooooo,.....OoooOooooOo,......ooooooooOo,....oooooOooooOo,....oooooooooooo
101,22.477,state after change,.....Ooooooooooo,....oooooooooooo,.....OoooOoooooo,.....Ooooooooooo,.....OoooOooooOo,......ooooooooOo,.....ooooOooooOo,....oooooooooooo
102,22.747,state after change,.....Ooooooooooo,....oooooooooooo,.....OoooOoooooo,.....Ooooooooooo,.....OoooOooooOo,.......oooooooOo,.....ooooOooooOo,.....ooooooooooo
103,22.95,state after change,.....Oo.oooooooo,....oooooooooooo,.....OoooOoooooo,.....Ooooooooooo,.....O.ooOooooOo,.......oooooooOo,......oooOooooOo,.....ooooooooooo
104,23.152,state after change,.....Oo.oooo.ooo,....oooooooooooo,.....OoooOoooooo,.....Ooooooooooo,.....OoooOooooOo,.......oooooooOo,.....ooooOooooOo,.....ooooooooooo
105,23.49,state after change,.....Oo.oooo.ooo,....ooo.oooooooo,.....OoooOoooooo,.....Ooooooooooo,.....OoooOooooOo,.......oooooooOo,......oooOooooOo,.....ooooooooooo
106,23.76,state after change,.....Oo.oooo.ooo,.....oo.oooooooo,.....OoooOoooooo,.....O..oooooooo,.....O..oOooooOo,........ooooooOo,.......ooOooooOo,......oooooooooo
107,24.03,state after change,.....Oo...oo.ooo,.....oo.oooooooo,.....OoooOoooooo,.....O..oooooooo,.....O..oOooooOo,........ooooooOo,.......ooOooooOo,......oooooooooo
108,24.3,state after change,.....Oo......ooo,.....oo.oooooooo,.....OoooOoooooo,.....O..oooooooo,.....O..oOooooOo,........ooooooOo,.......ooOooooOo,......oooooooooo
