step,time_s,turned_on_max,turned_on_bright,turned_on_dim,got_brighter,got_dim,turned_off
46,5.67,,,,,r1c12(toD),
47,5.805,,,,r7c14(toB),r3c7(toD) r3c12(toD),
48,6.007,,,,r3c15(toM),r1c14(toD),
49,6.075,,,,r1c14(toB),r1c7(toD) r1c11(toD) r2c11(toD),
50,6.21,,,,r1c11(toB),,
51,6.277,,,,r2c11(toB),,
52,6.345,,,,,r2c11(toD),
53,6.48,,,,,r1c14(toD) r3c11(toD) r3c16(toD),
54,6.615,,,,r1c7(toB) r3c11(toB),,
55,6.682,,,,r3c7(toB),r3c11(toD),
56,6.75,,,,r3c16(toB),r3c7(toD),
57,6.952,,,,,r1c7(toD) r1c11(toD),
58,7.02,r3c6,,,r3c7(toB) r3c10(toM) r3c11(toB),r3c16(toD),
59,7.087,,,,,r2c13(toD),r5c10
60,7.155,,,,,r1c9(toD),r2c16
61,7.222,,,,,r3c7(toD) r3c8(toD),
62,7.29,,,,,r3c11(toD),r6c15
63,7.357,,,,,r2c14(toD),
64,7.425,,,,r3c7(toB),r2c7(toD) r2c8(toD) r4c12(toD),
65,7.56,,,,r3c8(toM),r3c13(toD),
66,7.627,,,,,r3c7(toD),r5c6
67,7.695,,,,,r3c8(toD),
68,7.762,,,,,r4c11(toD),
69,7.83,,,r2c16,,r2c9(toD) r4c8(toD),
70,7.897,,,,r3c11(toM),r4c9(toD) r4c13(toD) r4c16(toD),
71,7.965,,,,r3c12(toB) r4c16(toB),r3c9(toD) r3c14(toD),r2c16
72,8.032,,,,r3c14(toB) r4c13(toB),r3c11(toD),
73,8.1,,,,r3c13(toM),r1c13(toD) r3c12(toD),r1c16
74,8.167,,,,r1c13(toB),,
75,8.235,,,,,r1c13(toD) r3c13(toD),
76,8.302,,,,r3c16(toM),r3c14(toD) r4c13(toD),
77,8.437,,,,,r3c16(toD) r4c14(toD),
78,8.572,,,,,r1c1(toD),
79,8.64,,,,,r4c16(toD),
80,8.707,,,r1c16,,,
81,8.775,,,,r1c1(toB),,
82,8.842,,,,r4c14(toB) r4c16(toB),,r1c16
83,8.91,,,,r1c13(toB) r3c14(toB),,
84,9.112,,,r1c16 r5c10,r4c8(toB) r4c9(toB) r4c10(toM) r4c13(toB),r2c6(toD) r3c10(toD) r4c16(toD),
85,9.18,,,,r4c16(toB),r4c8(toD),r1c16 r2c6
86,9.247,,,,r4c11(toB),,
87,9.315,,,r1c16,,r4c13(toD),
88,9.382,,,r2c6,,,r5c10
89,9.45,,,,,r4c11(toD),
90,9.517,,,,,r4c16(toD),
91,9.585,,,r2c16,,,
92,9.652,,,,,r7c14(toD),
93,9.787,,,,r4c16(toB),,
94,9.922,,,,,r4c16(toD),
